animal,learner,pair,dim,window_bins,window_ms,ifi,degenerate,cc_peak,sig
28,1,CA1-DG,2,24,240,0.017451084082495967,0,0.1528,1
28,1,CA1-DG,2,25,250,0.024767381927678182,0,0.1528,1
28,1,CA1-DG,3,1,10,0.711060948081264,0,0.0457,0
28,1,CA1-DG,3,2,20,0.660332541567696,0,0.0457,0
28,1,CA1-DG,3,3,30,0.5153203342618385,0,0.0457,0
28,1,CA1-DG,3,4,40,0.5209910529938058,0,0.0457,0
28,1,CA1-DG,3,5,50,0.3752913752913752,0,0.0457,0
28,1,CA1-DG,3,6,60,0.30703944083874174,0,0.0457,0
28,1,CA1-DG,3,7,70,0.18005738880918204,0,0.0457,0
28,1,CA1-DG,3,8,80,0.1606890708839311,0,0.0457,0
28,1,CA1-DG,3,9,90,0.10691823899371065,0,0.0457,0
28,1,CA1-DG,3,10,100,0.1273496240601505,0,0.0457,0
28,1,CA1-DG,3,11,110,0.11444321940463069,0,0.0457,0
28,1,CA1-DG,3,12,120,0.16882099490795144,0,0.0457,0
28,1,CA1-DG,3,13,130,0.08155128669807898,0,0.0457,0
28,1,CA1-DG,3,14,140,0.06708860759493664,0,0.0457,0
28,1,CA1-DG,3,15,150,0.09861723142379576,0,0.0457,0
28,1,CA1-DG,3,16,160,0.0627664265765104,0,0.0457,0
28,1,CA1-DG,3,17,170,0.03325246182389045,0,0.0457,0
28,1,CA1-DG,3,18,180,0.038085162655382025,0,0.0457,0
28,1,CA1-DG,3,19,190,0.057405727614357804,0,0.0457,0
28,1,CA1-DG,3,20,200,0.057405727614357874,0,0.0457,0
28,1,CA1-DG,3,21,210,0.06981441737154394,0,0.0457,0
28,1,CA1-DG,3,22,220,0.08356715871660354,0,0.0457,0
28,1,CA1-DG,3,23,230,0.09347851268388727,0,0.0457,0
28,1,CA1-DG,3,24,240,0.11058074781225143,0,0.0457,0
28,1,CA1-DG,3,25,250,0.10906821019180561,0,0.0457,0
28,1,CA1-DG,4,1,10,0.7892473118279569,0,0.0416,0
28,1,CA1-DG,4,2,20,0.2093023255813953,0,0.0416,0
28,1,CA1-DG,4,3,30,0.25347593582887695,0,0.0416,0
28,1,CA1-DG,4,4,40,0.24637681159420285,0,0.0416,0
28,1,CA1-DG,4,5,50,0.33782771535580514,0,0.0416,0
28,1,CA1-DG,4,6,60,0.2468538238141336,0,0.0416,0
28,1,CA1-DG,4,7,70,0.2299319727891156,0,0.0416,0
28,1,CA1-DG,4,8,80,0.16210698244181293,0,0.0416,0
28,1,CA1-DG,4,9,90,0.218943533697632,0,0.0416,0
28,1,CA1-DG,4,10,100,0.18149717514124292,0,0.0416,0
28,1,CA1-DG,4,11,110,0.14962183492272277,0,0.0416,0
28,1,CA1-DG,4,12,120,0.13714101323007422,0,0.0416,0
28,1,CA1-DG,4,13,130,0.16393948749614085,0,0.0416,0
28,1,CA1-DG,4,14,140,0.17095747758171836,0,0.0416,0
28,1,CA1-DG,4,15,150,0.12961941533370097,0,0.0416,0
28,1,CA1-DG,4,16,160,0.11654232055569841,0,0.0416,0
28,1,CA1-DG,4,17,170,0.09419228892142516,0,0.0416,0
28,1,CA1-DG,4,18,180,0.03725850965961375,0,0.0416,0
28,1,CA1-DG,4,19,190,0.05678233438485804,0,0.0416,0
28,1,CA1-DG,4,20,200,0.07409865074098655,0,0.0416,0
28,1,CA1-DG,4,21,210,0.08841168504546332,0,0.0416,0
28,1,CA1-DG,4,22,220,0.09117755629383528,0,0.0416,0
28,1,CA1-DG,4,23,230,0.06249999999999993,0,0.0416,0
28,1,CA1-DG,4,24,240,0.07901907356948225,0,0.0416,0
28,1,CA1-DG,4,25,250,0.10685383980181655,0,0.0416,0
28,1,CA1-DG,5,1,10,-1.0,0,0.0342,0
