animal,learner,pair,dim,ifi,peak_lag_ms,cc_max,cc_at_zero,sig,n_sig
75,1,CA1-SUB,9,-0.0026525198938992427,-230.0,0.0306,0.0238,1,3
75,1,CA1-SUB,10,0.08573967125721892,190.0,0.0254,0.0146,0,3
75,1,CA1-SUB,11,0.137336093857833,-240.0,0.0289,0.02,1,3
75,1,CA1-SUB,12,0.3161413562559695,220.0,0.0252,0.0166,0,3
75,1,CA1-SUB,13,0.01867881548974954,-250.0,0.0216,0.0092,0,3
75,1,CA1-SUB,14,-0.04921875000000001,150.0,0.0212,0.0107,0,3
75,1,CA1-SUB,15,-0.1549789621318373,130.0,0.028,-0.0005,0,3
75,1,CA1-SUB,16,-0.23363148479427562,230.0,0.0246,0.0124,0,3
75,1,CA1-SUB,17,-0.04643449419568818,-120.0,0.0276,0.0196,0,3
75,1,CA1-SUB,18,0.21688311688311684,230.0,0.0223,0.008,0,3
75,1,CA1-SUB,19,0.10086455331412106,20.0,0.0243,0.0,0,3
75,1,CA1-SUB,20,-0.040665434380776425,90.0,0.0216,-0.0048,0,3
75,1,CA1-SUB,21,,,,,0,3
75,1,CA1-V1,1,-0.10275126333520487,0.0,0.0579,0.0579,0,7
75,1,CA1-V1,2,-0.32725615314494083,-90.0,0.0361,0.0193,1,7
75,1,CA1-V1,3,0.02698412698412695,60.0,0.0289,0.0095,0,7
75,1,CA1-V1,4,-0.4125874125874125,50.0,0.0236,0.0183,1,7
75,1,CA1-V1,5,0.15064202943939872,160.0,0.0267,0.0019,0,7
75,1,CA1-V1,6,0.047401484865791016,20.0,0.0161,0.0125,0,7
75,1,CA1-V1,7,-0.1253012048192772,20.0,0.0268,0.0117,1,7
75,1,CA1-V1,8,0.06140917905623784,-50.0,0.0242,0.014,1,7
75,1,CA1-V1,9,0.1031636863823933,-80.0,0.02,-0.0117,0,7
75,1,CA1-V1,10,-0.31465172137710157,-200.0,0.0237,0.0014,0,7
75,1,CA1-V1,11,0.33259052924791094,60.0,0.0305,0.0121,1,7
75,1,CA1-V1,12,-0.09283196239717995,0.0,0.0272,0.0272,1,7
75,1,CA1-V1,13,-0.38644067796610176,-180.0,0.0275,0.0058,0,7
75,1,CA1-V1,14,-0.1606382978723404,-90.0,0.022,0.0192,0,7
75,1,CA1-V1,15,0.16968477531857826,150.0,0.0145,-0.0122,1,7
75,1,CA1-V1,16,0.007818052594171955,-130.0,0.0301,0.0269,0,7
