animal,pair,dim,epoch,window_bins,window_ms,ifi,degenerate,label,sig
75,CA1-DG,7,expert,6,60,0.34284818067754075,0,FF,1
75,CA1-DG,7,expert,7,70,0.44744823948305423,0,FF,1
75,CA1-DG,7,expert,8,80,0.4663100242007388,0,FF,1
75,CA1-DG,7,expert,9,90,0.5238636363636364,0,FF,1
75,CA1-DG,7,expert,10,100,0.5695058049933218,0,FF,1
75,CA1-DG,7,expert,11,110,0.6026176024279211,0,FF,1
75,CA1-DG,7,expert,12,120,0.6143578643578643,0,FF,1
75,CA1-DG,7,expert,13,130,0.5838033504503747,0,FF,1
75,CA1-DG,7,expert,14,140,0.5743569449940641,0,FF,1
75,CA1-DG,7,expert,15,150,0.519680378810299,0,FF,1
75,CA1-DG,7,expert,16,160,0.5196803788102989,0,FF,1
75,CA1-DG,7,expert,17,170,0.5196803788102989,0,FF,1
75,CA1-DG,7,expert,18,180,0.5196803788102989,0,FF,1
75,CA1-DG,7,expert,19,190,0.519680378810299,0,FF,1
75,CA1-DG,7,expert,20,200,0.5411689872075764,0,FF,1
75,CA1-DG,7,expert,21,210,0.47129073611767097,0,FF,1
75,CA1-DG,7,expert,22,220,0.4283653846153846,0,FF,1
75,CA1-DG,7,expert,23,230,0.4244276639098646,0,FF,1
75,CA1-DG,7,expert,24,240,0.4360209055141229,0,FF,1
75,CA1-DG,7,expert,25,250,0.4526699720749985,0,FF,1
75,CA1-DG,7,intermediate,1,10,0.0,1,FF,1
75,CA1-DG,7,intermediate,2,20,1.0,0,FF,1
75,CA1-DG,7,intermediate,3,30,1.0,0,FF,1
75,CA1-DG,7,intermediate,4,40,1.0,0,FF,1
75,CA1-DG,7,intermediate,5,50,0.9608163265306123,0,FF,1
75,CA1-DG,7,intermediate,6,60,0.9733629300776914,0,FF,1
75,CA1-DG,7,intermediate,7,70,0.9733924611973394,0,FF,1
75,CA1-DG,7,intermediate,8,80,0.9804001633319722,0,FF,1
75,CA1-DG,7,intermediate,9,90,0.9804001633319723,0,FF,1
75,CA1-DG,7,intermediate,10,100,0.9804001633319721,0,FF,1
75,CA1-DG,7,intermediate,11,110,0.9804001633319722,0,FF,1
75,CA1-DG,7,intermediate,12,120,0.20616761999502603,0,FF,1
75,CA1-DG,7,intermediate,13,130,0.24102079395085066,0,FF,1
75,CA1-DG,7,intermediate,14,140,0.2410207939508507,0,FF,1
75,CA1-DG,7,intermediate,15,150,0.12946236559139787,0,FF,1
75,CA1-DG,7,intermediate,16,160,0.018224117875145336,0,FF,1
75,CA1-DG,7,intermediate,17,170,0.08526011560693628,0,FF,1
75,CA1-DG,7,intermediate,18,180,0.11592178770949714,0,FF,1
75,CA1-DG,7,intermediate,19,190,0.11592178770949713,0,FF,1
75,CA1-DG,7,intermediate,20,200,0.11592178770949706,0,FF,1
75,CA1-DG,7,intermediate,21,210,0.03146683879296425,0,FF,1
75,CA1-DG,7,intermediate,22,220,0.19306265125033606,0,FF,1
75,CA1-DG,7,intermediate,23,230,0.12913907284768206,0,FF,1
75,CA1-DG,7,intermediate,24,240,0.041420118343195235,0,FF,1
75,CA1-DG,7,intermediate,25,250,0.030114226375908583,0,FF,1
75,CA1-DG,7,naive,1,10,0.19521103896103895,0,FF,1
75,CA1-DG,7,naive,2,20,0.15471698113207544,0,FF,1
75,CA1-DG,7,naive,3,30,0.12794527489232332,0,FF,1
75,CA1-DG,7,naive,4,40,0.13378715373727837,0,FF,1
75,CA1-DG,7,naive,5,50,0.1475856061843324,0,FF,1
75,CA1-DG,7,naive,6,60,0.14498284941301512,0,FF,1
75,CA1-DG,7,naive,7,70,0.08809633315215126,0,FF,1
75,CA1-DG,7,naive,8,80,0.08468751167395121,0,FF,1
75,CA1-DG,7,naive,9,90,0.15166710080750198,0,FF,1
75,CA1-DG,7,naive,10,100,0.16028108768713717,0,FF,1
75,CA1-DG,7,naive,11,110,0.15863826486800914,0,FF,1
75,CA1-DG,7,naive,12,120,0.1627407899443053,0,FF,1
75,CA1-DG,7,naive,13,130,0.17179379126281788,0,FF,1
75,CA1-DG,7,naive,14,140,0.17980878870274541,0,FF,1
75,CA1-DG,7,naive,15,150,0.18393709632125807,0,FF,1
75,CA1-DG,7,naive,16,160,0.16882781518030066,0,FF,1
75,CA1-DG,7,naive,17,170,0.15491564349439094,0,FF,1
75,CA1-DG,7,naive,18,180,0.16296029993323405,0,FF,1
75,CA1-DG,7,naive,19,190,0.16725862686956244,0,FF,1
75,CA1-DG,7,naive,20,200,0.15980902643655076,0,FF,1
