animal,learner,pair,epoch,bin_ms,lag_bins,lag_ms,n_samples,cc1,cc_mean3,n_sig,angle_x,angle_y,angle_x_cc1,angle_y_cc1,floor_x,floor_y,floor_cc1,gini_x_conn,gini_y_conn,angle_ff_fb_x,angle_ff_fb_y,angle_ff_fb_cc1
28,1,CA1-V1,intermediate,10,-10,-100,5900,0.0583,0.0276,0,89.19,83.42,76.52,89.8,69.07,89.4,76.04,0.3645,0.5009,86.02,85.76,88.87
28,1,CA1-V1,intermediate,10,15,150,5850,0.0372,0.0167,0,66.49,85.28,88.11,67.31,69.07,89.4,76.04,0.3315,0.4967,86.02,85.76,88.87
28,1,CA1-V1,intermediate,10,-15,-150,5850,0.0125,0.0173,0,77.89,73.74,76.0,49.86,69.07,89.4,76.04,0.3871,0.5116,86.02,85.76,88.87
28,1,CA1-V1,intermediate,10,20,200,5800,0.0113,0.0041,0,82.31,85.7,89.19,88.91,69.07,89.4,76.04,0.3026,0.5061,86.02,85.76,88.87
28,1,CA1-V1,intermediate,10,-20,-200,5800,-0.0191,-0.0037,0,87.37,84.69,85.63,82.33,69.07,89.4,76.04,0.3641,0.5056,86.02,85.76,88.87
28,1,CA1-V1,intermediate,10,25,250,5750,0.0169,0.0001,0,78.05,84.5,61.45,49.72,69.07,89.4,76.04,0.2829,0.5152,86.02,85.76,88.87
28,1,CA1-V1,intermediate,10,-25,-250,5750,0.0009,0.0014,0,85.37,80.12,70.91,56.98,69.07,89.4,76.04,0.378,0.5328,86.02,85.76,88.87
28,1,CA3-DG,intermediate,10,0,0,6000,-0.0201,0.0249,0,0.0,0.0,0.0,0.0,82.89,70.83,86.61,0.6922,0.3088,82.61,79.77,81.07
28,1,CA3-DG,intermediate,10,1,10,5990,0.0693,0.0564,0,73.62,72.03,89.2,88.93,82.89,70.83,86.61,0.5557,0.2643,82.61,79.77,81.07
28,1,CA3-DG,intermediate,10,-1,-10,5990,0.0234,0.0166,0,74.1,60.56,48.41,40.26,82.89,70.83,86.61,0.6963,0.2864,82.61,79.77,81.07
