animal,pair,window_bins,window_ms,mean_ifi,n_ccs,wmean_ifi
61,CA1-V1,12,120,0.08546036822492009,7,0.14150549627300416
61,CA1-V1,13,130,0.1189187201696114,7,0.1571969602481433
61,CA1-V1,14,140,0.10566585555922463,7,0.1353931666329055
61,CA1-V1,15,150,0.09333842454114273,7,0.11833119181870543
61,CA1-V1,16,160,0.10841466904580169,7,0.11714836274714226
61,CA1-V1,17,170,0.08484690448020779,7,0.08790521044153893
61,CA1-V1,18,180,0.10569526127125817,7,0.11130718927763653
61,CA1-V1,19,190,0.0949179158684269,7,0.09644358388426356
61,CA1-V1,20,200,0.0871439393292028,7,0.07941962482216704
61,CA1-V1,21,210,0.0716747613197898,7,0.059866536097609786
61,CA1-V1,22,220,0.05492998469642452,7,0.03721302952945698
61,CA1-V1,23,230,0.037251280789825654,7,0.020207062585462406
61,CA1-V1,24,240,0.02577577023244566,7,0.010672837454221143
61,CA1-V1,25,250,0.029990593915206636,7,0.004903846096323311
61,CA3-DG,1,10,-0.11910048393860428,9,-0.13016957118620254
61,CA3-DG,2,20,-0.32019004714683996,9,-0.22006946608607159
61,CA3-DG,3,30,-0.2897042345991994,9,-0.24277111150515174
61,CA3-DG,4,40,-0.22517007328895267,9,-0.21040161652802847
61,CA3-DG,5,50,-0.22997627673493617,9,-0.20496111757814878
61,CA3-DG,6,60,-0.18619834501214813,9,-0.1811042408401732
61,CA3-DG,7,70,-0.18448373839951593,9,-0.17586036343572148
61,CA3-DG,8,80,-0.1857331394523838,9,-0.173133921636921
61,CA3-DG,9,90,-0.20471825906364982,9,-0.17949023302042
61,CA3-DG,10,100,-0.1906866318617214,9,-0.16066747714285182
61,CA3-DG,11,110,-0.2003526946646551,9,-0.16155210173698667
61,CA3-DG,12,120,-0.1958953525743137,9,-0.1616809611823687
61,CA3-DG,13,130,-0.17177336534163645,9,-0.14565965364313685
61,CA3-DG,14,140,-0.1667077151628342,9,-0.14444276572421252
61,CA3-DG,15,150,-0.14535946453908086,9,-0.13131874483960387
61,CA3-DG,16,160,-0.16012680612215233,9,-0.13765797756320056
61,CA3-DG,17,170,-0.17039415944709269,9,-0.14258670015870867
61,CA3-DG,18,180,-0.1674553478242047,9,-0.13700653234385188
61,CA3-DG,19,190,-0.151919981987722,9,-0.12542617620606583
61,CA3-DG,20,200,-0.149922738611248,9,-0.12456005247017717
61,CA3-DG,21,210,-0.1332540085029573,9,-0.11506795589747132
61,CA3-DG,22,220,-0.13089080108352505,9,-0.11637895616094641
61,CA3-DG,23,230,-0.10044501339944674,9,-0.09646223886560847
61,CA3-DG,24,240,-0.09152886790345247,9,-0.09380033705731818
61,CA3-DG,25,250,-0.10087433328630964,9,-0.09590373096481332
61,V1-RSC,1,10,0.13054749256840048,8,0.057410614749616166
