animal,area,epoch,partner1,partner2,n_units,rho_conn,rho_intr,rho_resid,jaccard,jaccard_excess
73,CA1,intermediate,CA1-DG,CA1-SUB,26,0.7941880341880342,0.9999999999999999,0.6621719368936267,0.4,0.24444444444444446
73,CA1,intermediate,CA1-DG,CA1-V1,26,0.638974358974359,0.984957264957265,0.25155337350578283,0.16666666666666666,0.0111111111111111
73,CA1,intermediate,CA1-RSC,CA1-SUB,26,0.805128205128205,0.9986324786324786,0.7096394433103396,0.5555555555555556,0.4
73,CA1,intermediate,CA1-RSC,CA1-V1,26,0.7114529914529912,0.9835897435897435,0.5345849768888025,0.16666666666666666,0.0111111111111111
73,CA1,intermediate,CA1-SUB,CA1-V1,26,0.7114529914529912,0.984957264957265,0.514522263952347,0.2727272727272727,0.11717171717171715
73,CA1,naive,CA1-DG,CA1-RSC,26,0.6916239316239315,0.9993162393162391,0.41897741566534014,0.4,0.24444444444444446
73,CA1,naive,CA1-DG,CA1-SUB,26,0.8707692307692306,0.9993162393162391,0.774792486152076,0.75,0.5944444444444444
73,CA1,naive,CA1-DG,CA1-V1,26,0.5972649572649572,0.9336752136752137,0.23965139345387942,0.5555555555555556,0.4
73,CA1,naive,CA1-RSC,CA1-SUB,26,0.6970940170940171,0.9999999999999999,0.3890840042504497,0.4,0.24444444444444446
73,CA1,naive,CA1-RSC,CA1-V1,26,0.6916239316239315,0.9329914529914528,0.33369427229469834,0.4,0.24444444444444446
73,CA1,naive,CA1-SUB,CA1-V1,26,0.6601709401709401,0.9329914529914528,0.31029139419326895,0.5555555555555556,0.4
73,RSC,expert,CA1-RSC,RSC-SUB,64,0.9477106227106226,0.9994963369963369,-0.10610780366811202,0.5238095238095238,0.380952380952381
73,RSC,expert,CA1-RSC,V1-RSC,64,0.7853479853479853,0.9957417582417581,-0.05211016239707422,0.3333333333333333,0.19047619047619047
73,RSC,expert,RSC-SUB,V1-RSC,64,0.8539835164835164,0.9961080586080584,0.5179170269111978,0.391304347826087,0.24844720496894412
73,RSC,intermediate,CA1-RSC,RSC-SUB,64,0.883562271062271,0.9997138246285083,0.3640900250114578,0.391304347826087,0.24844720496894412
73,RSC,intermediate,CA1-RSC,V1-RSC,64,0.8036630036630035,0.9974931032373214,0.11784606500474289,0.28,0.13714285714285718
73,RSC,intermediate,RSC-SUB,V1-RSC,64,0.9290293040293038,0.9970238095238094,0.707071594787311,0.6,0.45714285714285713
73,RSC,naive,CA1-RSC,RSC-SUB,64,0.9445620944082028,0.9994963369963369,0.7822441448442803,0.5238095238095238,0.380952380952381
73,RSC,naive,CA1-RSC,V1-RSC,64,0.9172952987700196,0.995970695970696,0.6665458430213684,0.5238095238095238,0.380952380952381
73,RSC,naive,RSC-SUB,V1-RSC,64,0.9407967032967031,0.9959249084249083,0.7158739932591425,0.6,0.45714285714285713
73,SUB,expert,CA1-SUB,RSC-SUB,27,0.5946275946275946,0.9975579975579975,0.16305119384856886,0.16666666666666666,0.017730496453900707
73,SUB,intermediate,CA1-SUB,RSC-SUB,27,0.33821733821733824,0.9999999999999999,0.22007112947903593,0.16666666666666666,0.017730496453900707
73,SUB,naive,CA1-SUB,RSC-SUB,27,0.5012210012210012,0.9987789987789988,0.2938261473497032,0.2727272727272727,0.12379110251450676
73,V1,expert,CA1-V1,V1-RSC,19,0.5684210526315789,1.0,0.5907283865000938,0.6666666666666666,0.5151515151515151
73,V1,intermediate,CA1-V1,V1-RSC,19,0.5052631578947369,1.0,0.5464245338384746,0.42857142857142855,0.277056277056277
73,V1,naive,CA1-V1,V1-RSC,19,0.7105263157894737,1.0,0.5881186753853178,0.6666666666666666,0.5151515151515151
