family,metric,cell,contrast,n,med_delta,t_p,w_p
pair,rho_contrib_conn_tomrel_ratepart,CA1-DG CA1,expert-intermediate,8,0.1232,0.39035,0.3125
pair,rho_contrib_conn_tomrel_ratepart,CA1-DG DG,expert-naive,8,-0.3017,0.13579,0.10938
pair,rho_contrib_conn_tomrel_ratepart,CA1-DG DG,intermediate-naive,8,-0.0774,0.07295,0.10938
pair,rho_contrib_conn_tomrel_ratepart,CA1-DG DG,expert-intermediate,8,-0.0719,0.24136,0.38281
pair,rho_contrib_conn_tomrel_ratepart,CA1-RSC CA1,expert-naive,8,-0.2435,0.27816,0.25
pair,rho_contrib_conn_tomrel_ratepart,CA1-RSC CA1,intermediate-naive,8,0.0475,0.92529,0.94531
pair,rho_contrib_conn_tomrel_ratepart,CA1-RSC CA1,expert-intermediate,8,-0.1351,0.2378,0.3125
pair,rho_contrib_conn_tomrel_ratepart,CA1-RSC RSC,expert-naive,8,-0.0841,0.48995,0.64062
pair,rho_contrib_conn_tomrel_ratepart,CA1-RSC RSC,intermediate-naive,8,0.0567,0.35623,0.54688
pair,rho_contrib_conn_tomrel_ratepart,CA1-RSC RSC,expert-intermediate,8,-0.1503,0.2989,0.3125
pair,rho_contrib_conn_tomrel_ratepart,CA1-SUB CA1,expert-naive,4,-0.1872,0.17407,0.125
pair,rho_contrib_conn_tomrel_ratepart,CA1-SUB CA1,intermediate-naive,4,-0.2557,0.18704,0.25
pair,rho_contrib_conn_tomrel_ratepart,CA1-SUB CA1,expert-intermediate,4,-0.0293,0.75087,0.875
pair,rho_contrib_conn_tomrel_ratepart,CA1-SUB SUB,expert-naive,4,0.0899,0.58576,0.625
pair,rho_contrib_conn_tomrel_ratepart,CA1-SUB SUB,intermediate-naive,4,-0.1398,0.40604,0.625
