animal,learner,pair,center_trial,trial_frac,performance,lp_rel,n_bins,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y,gini_x_conn,gini_y_conn,gini_x_sig,gini_y_sig,gini_pearson_x,gini_pearson_y,rot_x,rot_y,rot_x_cc1,rot_y_cc1,jac_x,jac_y,sh_x,sh_y,sh_x_cc1,sh_y_cc1
68,1,CA1-DG,88.0,0.348,0.8476,46.0,12000,0.2944,2,0.0715,-0.0667,0,0.0637,0.1162,0.5144,0.4291,0.5507,0.4697,0.3557,0.3493,47.02,66.94,9.28,20.31,0.25,0.2,81.8,75.93,31.61,31.12
68,1,CA1-DG,93.0,0.368,0.8757,51.0,12000,0.2931,2,0.0642,-0.0254,0,0.088,0.109,0.4841,0.4407,0.5472,0.5386,0.3495,0.3542,50.9,54.08,12.82,19.32,0.6667,0.3333,68.52,63.98,20.18,24.54
68,1,CA1-DG,98.0,0.388,0.753,56.0,10000,0.2866,2,0.07,-0.0181,0,0.1233,0.1544,0.473,0.4233,0.544,0.4944,0.3432,0.3521,42.94,61.44,12.22,19.37,0.4286,0.3333,85.35,74.8,19.47,38.76
68,1,CA1-DG,103.0,0.408,0.6312,61.0,12000,0.3145,2,0.0706,-0.078,0,0.0774,0.1428,0.5497,0.449,0.5738,0.4773,0.3573,0.326,61.39,73.67,16.66,26.6,0.4286,0.0909,80.65,83.34,14.09,19.27
68,1,CA1-DG,108.0,0.428,0.577,66.0,12000,0.3018,2,0.0662,-0.0973,0,0.0762,0.181,0.5343,0.4975,0.5795,0.5342,0.3531,0.3742,68.32,69.42,8.21,14.09,1.0,0.2,83.78,88.69,21.79,30.46
68,1,CA1-DG,113.0,0.448,0.6865,71.0,14000,0.3239,2,0.0731,-0.0794,0,0.0682,0.1305,0.5452,0.5005,0.5974,0.5235,0.3742,0.3673,49.08,42.31,10.06,14.23,0.25,0.2,54.66,62.81,12.85,13.16
68,1,CA1-DG,118.0,0.468,0.7575,76.0,12000,0.2968,2,0.0612,-0.0699,0,0.0608,0.1063,0.5074,0.4872,0.5414,0.4971,0.3365,0.328,31.29,42.4,8.26,15.23,0.4286,0.0909,89.27,78.3,18.0,21.73
68,1,CA1-DG,123.0,0.488,0.7497,81.0,12000,0.3139,2,0.0694,-0.0771,0,0.0679,0.0908,0.4619,0.4347,0.5081,0.4998,0.3472,0.3636,71.0,66.8,10.27,12.14,0.6667,0.2,74.49,79.51,18.06,24.58
68,1,CA1-DG,128.0,0.508,0.7497,86.0,12000,0.2863,2,0.0524,-0.1031,0,0.079,0.14,0.3419,0.3358,0.5436,0.5467,0.3441,0.3619,44.18,58.47,12.12,17.55,0.4286,0.0909,71.85,83.96,26.1,22.58
68,1,CA1-DG,133.0,0.528,0.7301,91.0,14000,0.2776,2,0.0597,-0.1015,0,0.0901,0.0876,0.4969,0.4261,0.5786,0.4702,0.3674,0.3484,38.74,51.78,11.79,16.45,0.4286,0.3333,78.16,85.68,28.63,30.61
68,1,CA1-DG,138.0,0.548,0.731,96.0,12000,0.291,2,0.0612,-0.0771,0,0.091,0.1063,0.502,0.499,0.5547,0.5098,0.3509,0.3306,44.88,39.92,13.62,15.0,0.25,0.3333,59.53,66.74,16.77,24.01
68,1,CA1-DG,143.0,0.568,0.7917,101.0,12000,0.321,4,0.0862,-0.065,0,0.0817,0.7749,0.3954,0.8577,0.4282,0.9218,0.3376,0.3128,53.0,82.46,18.25,74.2,0.25,0.2,88.95,61.06,22.38,10.45
68,1,CA1-DG,148.0,0.588,0.8234,106.0,12000,0.3172,2,0.0712,-0.0823,0,0.0589,0.1089,0.4977,0.4618,0.5819,0.5007,0.3634,0.374,68.78,85.23,16.47,74.63,0.25,0.2,79.83,74.29,16.3,19.88
68,1,CA1-DG,153.0,0.608,0.834,111.0,12000,0.3125,3,0.071,-0.0635,0,0.0771,0.1014,0.4671,0.4273,0.4498,0.3918,0.3764,0.3592,78.58,76.54,12.06,15.32,0.4286,0.2,44.46,59.4,18.23,23.66
68,1,CA1-DG,158.0,0.628,0.634,116.0,12000,0.3205,3,0.0763,-0.0458,0,0.0776,0.1559,0.5058,0.4663,0.5148,0.4285,0.3882,0.3764,24.49,52.62,14.24,17.2,0.4286,0.2,29.31,52.77,23.0,18.78
68,1,CA1-DG,163.0,0.648,0.5078,121.0,12000,0.3219,2,0.07,-0.1115,0,0.1081,0.134,0.5198,0.4953,0.5559,0.5389,0.3773,0.3632,27.64,59.56,10.11,13.97,0.25,0.3333,78.77,84.99,17.93,21.61
68,1,CA1-DG,168.0,0.668,0.3056,126.0,12000,0.3296,2,0.0704,-0.0995,0,0.0995,0.1546,0.5015,0.4801,0.5692,0.5093,0.3754,0.3753,46.66,53.85,12.45,18.11,0.6667,0.2,75.56,85.27,20.73,17.08
68,1,CA1-DG,173.0,0.688,0.3056,131.0,12000,0.2973,3,0.0747,-0.0944,0,0.1007,0.1108,0.452,0.3887,0.4783,0.4208,0.383,0.3695,49.54,55.39,17.84,15.83,0.25,0.5,34.95,58.69,21.35,57.8
68,1,CA1-DG,178.0,0.708,0.3222,136.0,12000,0.3042,3,0.0679,-0.101,0,0.1029,0.1595,0.4683,0.4246,0.5219,0.4493,0.3959,0.3646,23.1,39.82,11.31,11.1,0.4286,0.5,35.34,55.95,29.1,24.38
68,1,CA1-DG,183.0,0.728,0.3667,141.0,12000,0.2949,2,0.0632,-0.044,0,0.1138,0.1053,0.506,0.45,0.567,0.514,0.3838,0.3701,26.76,37.92,9.72,16.66,0.4286,0.5,67.43,68.8,25.97,23.13
68,1,CA1-DG,188.0,0.748,0.3,146.0,12000,0.3193,2,0.0722,-0.0676,0,0.1197,0.1576,0.532,0.4778,0.6347,0.5197,0.3474,0.3283,71.57,83.55,18.4,19.87,0.4286,0.2,80.41,71.42,21.53,14.97
68,1,CA1-DG,193.0,0.768,0.1333,151.0,12000,0.3443,2,0.0838,-0.059,0,0.1338,0.1654,0.551,0.5171,0.6161,0.5259,0.4112,0.3805,64.98,48.86,9.04,14.49,0.4286,0.5,83.19,74.06,18.02,17.41
68,1,CA1-DG,198.0,0.788,0.0833,156.0,14000,0.2791,2,0.0553,-0.0883,0,0.0776,0.1105,0.529,0.4548,0.5939,0.4935,0.3859,0.3657,60.05,69.85,21.53,19.38,0.1111,0.2,82.64,87.21,18.74,34.96
