animal,learner,pair,bin,dim,cc,sig,ifi
34,1,CA1-CA3,5,12,-0.0779,0,-0.0404
34,1,CA1-CA3,6,1,0.3858,1,-0.0124
34,1,CA1-CA3,6,2,0.389,1,-0.0281
34,1,CA1-CA3,6,3,0.2076,1,0.0168
34,1,CA1-CA3,6,4,0.176,1,0.0028
34,1,CA1-CA3,6,5,0.0385,0,-0.0021
34,1,CA1-CA3,6,6,0.1538,1,0.0197
34,1,CA1-CA3,6,7,-0.0067,0,-0.0224
34,1,CA1-CA3,6,8,0.0301,0,-0.0297
34,1,CA1-CA3,6,9,0.0276,0,-0.0498
34,1,CA1-CA3,6,10,-0.0015,0,-0.0691
34,1,CA1-CA3,6,11,0.0121,0,-0.075
34,1,CA1-CA3,6,12,0.0921,0,-0.0856
34,1,CA1-CA3,6,13,0.0887,0,-0.0172
34,1,CA1-V1,1,1,0.158,0,0.0089
34,1,CA1-V1,1,2,0.0621,0,-0.014
34,1,CA1-V1,1,3,0.064,0,0.0047
34,1,CA1-V1,1,4,0.111,0,-0.0006
34,1,CA1-V1,1,5,0.0207,0,-0.0035
34,1,CA1-V1,1,6,0.0293,0,-0.0041
34,1,CA1-V1,1,7,0.0112,0,0.013
34,1,CA1-V1,1,8,0.0302,0,0.0061
34,1,CA1-V1,1,9,0.0283,0,0.0065
34,1,CA1-V1,1,10,-0.0088,0,0.0215
34,1,CA1-V1,1,11,0.0076,0,0.0223
34,1,CA1-V1,1,12,-0.0003,0,0.0069
34,1,CA1-V1,1,13,0.0094,0,0.0159
34,1,CA1-V1,1,14,0.0033,0,0.0145
34,1,CA1-V1,1,15,-0.0206,0,0.0118
34,1,CA1-V1,1,16,-0.0249,0,0.0077
34,1,CA1-V1,1,17,0.0244,0,0.0049
34,1,CA1-V1,1,18,-0.0157,0,0.022
34,1,CA1-V1,1,19,0.0312,0,0.0469
34,1,CA1-V1,1,20,-0.0059,0,0.0246
34,1,CA1-V1,1,21,0.0273,0,0.0209
34,1,CA1-V1,1,22,-0.0159,0,0.0677
34,1,CA1-V1,1,23,-0.0124,0,0.0664
34,1,CA1-V1,1,24,-0.0015,0,0.0828
34,1,CA1-V1,1,25,0.0134,0,0.0943
34,1,CA1-V1,2,1,0.1363,0,0.0099
34,1,CA1-V1,2,2,0.1444,0,0.0327
34,1,CA1-V1,2,3,0.0438,0,0.0242
34,1,CA1-V1,2,4,0.0531,0,-0.0035
34,1,CA1-V1,2,5,0.057,0,-0.0137
34,1,CA1-V1,2,6,0.0087,0,-0.0105
34,1,CA1-V1,2,7,0.0062,0,0.0147
34,1,CA1-V1,2,8,0.0439,0,0.0149
34,1,CA1-V1,2,9,0.011,0,-0.0013
34,1,CA1-V1,2,10,0.0192,0,0.0124
34,1,CA1-V1,2,11,0.0139,0,0.0179
34,1,CA1-V1,2,12,-0.0091,0,0.02
34,1,CA1-V1,2,13,0.0056,0,0.0209
34,1,CA1-V1,2,14,0.0199,0,0.0196
34,1,CA1-V1,2,15,0.0074,0,0.0189
34,1,CA1-V1,2,16,0.001,0,0.0337
34,1,CA1-V1,2,17,0.0035,0,0.025
34,1,CA1-V1,2,18,0.0173,0,0.0169
34,1,CA1-V1,2,19,0.0203,0,0.054
34,1,CA1-V1,2,20,0.0042,0,0.039
34,1,CA1-V1,2,21,0.0185,0,0.0386
34,1,CA1-V1,2,22,-0.0108,0,-0.0071
34,1,CA1-V1,2,23,-0.0285,0,0.0004
34,1,CA1-V1,2,24,-0.0099,0,-0.0254
34,1,CA1-V1,2,25,0.0103,0,0.0046
34,1,CA1-V1,3,1,0.1233,0,0.0089
34,1,CA1-V1,3,2,0.1278,0,-0.0195
