animal,learner,pair,cond,area,unit,contrib
52,1,CA1-RSC,uncued,CA1,20,0.01608
52,1,CA1-RSC,uncued,CA1,21,0.50634
52,1,CA1-RSC,uncued,CA1,22,0.525962
52,1,CA1-RSC,uncued,CA1,23,0.15898
52,1,CA1-RSC,uncued,CA1,24,0.747521
52,1,CA1-RSC,uncued,CA1,25,0.00631
52,1,CA1-RSC,uncued,CA1,26,0.001146
52,1,CA1-RSC,uncued,CA1,27,0.014841
52,1,CA1-RSC,uncued,CA1,28,0.002047
52,1,CA1-RSC,uncued,CA1,29,0.018617
52,1,CA1-RSC,uncued,CA1,30,0.230212
52,1,CA1-RSC,uncued,CA1,31,0.032295
52,1,CA1-RSC,uncued,CA1,32,0.629314
52,1,CA1-RSC,uncued,CA1,33,0.085179
52,1,CA1-RSC,uncued,CA1,34,0.435678
52,1,CA1-RSC,uncued,CA1,35,0.299589
52,1,CA1-RSC,uncued,CA1,36,0.07157
52,1,CA1-RSC,uncued,CA1,37,0.193834
52,1,CA1-RSC,uncued,CA1,38,0.124434
52,1,CA1-RSC,uncued,CA1,39,0.555587
52,1,CA1-RSC,uncued,CA1,40,0.074635
52,1,CA1-RSC,uncued,CA1,41,0.096782
52,1,CA1-RSC,uncued,CA1,42,0.509041
52,1,CA1-RSC,uncued,CA1,43,0.017681
52,1,CA1-RSC,uncued,CA1,44,0.021078
52,1,CA1-RSC,uncued,CA1,45,0.032182
52,1,CA1-RSC,uncued,CA1,46,0.684231
52,1,CA1-RSC,uncued,CA1,47,0.027816
52,1,CA1-RSC,uncued,CA1,48,0.01519
52,1,CA1-RSC,uncued,CA1,49,0.014847
52,1,CA1-RSC,uncued,CA1,50,0.088951
52,1,CA1-RSC,uncued,CA1,51,0.484487
52,1,CA1-RSC,uncued,CA1,52,0.071085
52,1,CA1-RSC,uncued,CA1,53,0.010214
52,1,CA1-RSC,uncued,RSC,0,1.236245
52,1,CA1-RSC,uncued,RSC,1,1.186452
52,1,CA1-RSC,uncued,RSC,2,1.707489
52,1,CA1-RSC,uncued,RSC,3,2.265775
52,1,CA1-RSC,uncued,RSC,4,0.896155
52,1,CA1-RSC,uncued,RSC,5,3.008381
52,1,CA1-RSC,uncued,RSC,6,1.057506
52,1,CA1-RSC,cued,CA1,0,0.060546
52,1,CA1-RSC,cued,CA1,1,0.650585
52,1,CA1-RSC,cued,CA1,2,0.055482
52,1,CA1-RSC,cued,CA1,3,0.026497
52,1,CA1-RSC,cued,CA1,4,0.00264
52,1,CA1-RSC,cued,CA1,5,0.003542
52,1,CA1-RSC,cued,CA1,6,0.619906
52,1,CA1-RSC,cued,CA1,7,0.492135
52,1,CA1-RSC,cued,CA1,8,0.117837
52,1,CA1-RSC,cued,CA1,9,0.011631
52,1,CA1-RSC,cued,CA1,10,0.069878
52,1,CA1-RSC,cued,CA1,11,0.334967
52,1,CA1-RSC,cued,CA1,12,0.024987
52,1,CA1-RSC,cued,CA1,13,0.076843
52,1,CA1-RSC,cued,CA1,14,0.076335
52,1,CA1-RSC,cued,CA1,15,0.157713
52,1,CA1-RSC,cued,CA1,16,0.014153
52,1,CA1-RSC,cued,CA1,17,0.031997
52,1,CA1-RSC,cued,CA1,18,0.007478
52,1,CA1-RSC,cued,CA1,19,0.058973
52,1,CA1-RSC,cued,CA1,20,0.032566
52,1,CA1-RSC,cued,CA1,21,0.090424
52,1,CA1-RSC,cued,CA1,22,0.207262
52,1,CA1-RSC,cued,CA1,23,0.067676
52,1,CA1-RSC,cued,CA1,24,0.44355
52,1,CA1-RSC,cued,CA1,25,0.061955
52,1,CA1-RSC,cued,CA1,26,0.014849
52,1,CA1-RSC,cued,CA1,27,0.465642
52,1,CA1-RSC,cued,CA1,28,0.038433
52,1,CA1-RSC,cued,CA1,29,0.276281
52,1,CA1-RSC,cued,CA1,30,0.452771
52,1,CA1-RSC,cued,CA1,31,0.025483
52,1,CA1-RSC,cued,CA1,32,0.478749
52,1,CA1-RSC,cued,CA1,33,0.1236
52,1,CA1-RSC,cued,CA1,34,0.489834
52,1,CA1-RSC,cued,CA1,35,0.141376
52,1,CA1-RSC,cued,CA1,36,0.051221
52,1,CA1-RSC,cued,CA1,37,0.238037
52,1,CA1-RSC,cued,CA1,38,0.116732
52,1,CA1-RSC,cued,CA1,39,0.599929
52,1,CA1-RSC,cued,CA1,40,0.093327
52,1,CA1-RSC,cued,CA1,41,0.006575
52,1,CA1-RSC,cued,CA1,42,0.537678
52,1,CA1-RSC,cued,CA1,43,0.18253
52,1,CA1-RSC,cued,CA1,44,0.027144
52,1,CA1-RSC,cued,CA1,45,0.006989
52,1,CA1-RSC,cued,CA1,46,0.032615
52,1,CA1-RSC,cued,CA1,47,0.065481
52,1,CA1-RSC,cued,CA1,48,0.590238
52,1,CA1-RSC,cued,CA1,49,0.007706
52,1,CA1-RSC,cued,CA1,50,0.120529
52,1,CA1-RSC,cued,CA1,51,0.625232
52,1,CA1-RSC,cued,CA1,52,0.598653
52,1,CA1-RSC,cued,CA1,53,0.009357
52,1,CA1-RSC,cued,RSC,0,1.195727
52,1,CA1-RSC,cued,RSC,1,1.281069
52,1,CA1-RSC,cued,RSC,2,1.359244
52,1,CA1-RSC,cued,RSC,3,1.036009
52,1,CA1-RSC,cued,RSC,4,0.920717
52,1,CA1-RSC,cued,RSC,5,1.767319
52,1,CA1-RSC,cued,RSC,6,1.395575
52,1,CA1-CA3,uncued,CA1,0,0.198219
52,1,CA1-CA3,uncued,CA1,1,0.734396
52,1,CA1-CA3,uncued,CA1,2,0.053793
52,1,CA1-CA3,uncued,CA1,3,0.061443
52,1,CA1-CA3,uncued,CA1,4,0.001193
52,1,CA1-CA3,uncued,CA1,5,0.006486
52,1,CA1-CA3,uncued,CA1,6,0.743151
52,1,CA1-CA3,uncued,CA1,7,0.031711
52,1,CA1-CA3,uncued,CA1,8,0.268384
52,1,CA1-CA3,uncued,CA1,9,0.013137
52,1,CA1-CA3,uncued,CA1,10,0.049278
52,1,CA1-CA3,uncued,CA1,11,0.111709
52,1,CA1-CA3,uncued,CA1,12,0.065153
52,1,CA1-CA3,uncued,CA1,13,0.101622
52,1,CA1-CA3,uncued,CA1,14,0.737348
52,1,CA1-CA3,uncued,CA1,15,0.852854
52,1,CA1-CA3,uncued,CA1,16,0.146477
52,1,CA1-CA3,uncued,CA1,17,0.01124
52,1,CA1-CA3,uncued,CA1,18,0.014829
52,1,CA1-CA3,uncued,CA1,19,0.786914
52,1,CA1-CA3,uncued,CA1,20,0.022772
52,1,CA1-CA3,uncued,CA1,21,0.767709
52,1,CA1-CA3,uncued,CA1,22,0.829639
52,1,CA1-CA3,uncued,CA1,23,0.334374
52,1,CA1-CA3,uncued,CA1,24,0.79275
52,1,CA1-CA3,uncued,CA1,25,0.014826
52,1,CA1-CA3,uncued,CA1,26,0.003752
52,1,CA1-CA3,uncued,CA1,27,0.026296
52,1,CA1-CA3,uncued,CA1,28,0.003318
52,1,CA1-CA3,uncued,CA1,29,0.025784
52,1,CA1-CA3,uncued,CA1,30,0.31291
