animal,learner,pair,cond,area,unit,contrib
41,1,CA1-V1,cued,V1,143,0.035907
41,1,CA1-V1,cued,V1,144,0.05645
41,1,CA1-V1,cued,V1,145,0.105205
41,1,CA1-V1,cued,V1,146,0.071217
41,1,CA1-V1,cued,V1,147,0.181305
41,1,CA1-V1,cued,V1,148,0.419469
41,1,CA1-V1,cued,V1,149,0.07481
41,1,CA1-V1,cued,V1,150,0.034433
41,1,CA1-V1,cued,V1,151,0.132295
41,1,CA1-V1,cued,V1,152,0.030754
41,1,CA1-V1,cued,V1,153,0.552502
41,1,CA1-V1,cued,V1,154,0.114618
41,1,CA1-V1,cued,V1,155,0.518358
41,1,CA1-V1,cued,V1,156,0.043058
41,1,CA1-V1,cued,V1,157,0.081293
41,1,CA1-V1,cued,V1,158,0.056723
41,1,CA1-V1,cued,V1,159,0.206643
41,1,CA1-V1,cued,V1,160,0.033305
41,1,CA1-V1,cued,V1,161,0.198311
41,1,CA1-V1,cued,V1,162,0.01337
41,1,CA1-V1,cued,V1,163,0.004756
41,1,CA1-V1,cued,V1,164,0.03986
41,1,CA1-V1,cued,V1,165,0.028982
41,1,CA1-V1,cued,V1,166,0.00233
41,1,CA1-V1,cued,V1,167,0.003204
41,1,CA1-V1,cued,V1,168,0.554
41,1,CA1-V1,cued,V1,169,0.061472
41,1,CA1-V1,cued,V1,170,0.040515
41,1,CA1-V1,cued,V1,171,0.049936
41,1,CA1-V1,cued,V1,172,0.241062
41,1,CA1-V1,cued,V1,173,0.018786
41,1,CA1-V1,cued,V1,174,0.032564
41,1,CA1-V1,cued,V1,175,0.028235
52,1,CA1-RSC,uncued,CA1,0,0.126307
52,1,CA1-RSC,uncued,CA1,1,0.382201
52,1,CA1-RSC,uncued,CA1,2,0.050068
52,1,CA1-RSC,uncued,CA1,3,0.049845
52,1,CA1-RSC,uncued,CA1,4,0.0
52,1,CA1-RSC,uncued,CA1,5,0.001996
52,1,CA1-RSC,uncued,CA1,6,0.626442
52,1,CA1-RSC,uncued,CA1,7,0.027573
52,1,CA1-RSC,uncued,CA1,8,0.254208
52,1,CA1-RSC,uncued,CA1,9,0.011251
52,1,CA1-RSC,uncued,CA1,10,0.040601
52,1,CA1-RSC,uncued,CA1,11,0.092455
52,1,CA1-RSC,uncued,CA1,12,0.039237
52,1,CA1-RSC,uncued,CA1,13,0.054073
52,1,CA1-RSC,uncued,CA1,14,0.726566
52,1,CA1-RSC,uncued,CA1,15,0.476291
52,1,CA1-RSC,uncued,CA1,16,0.140095
52,1,CA1-RSC,uncued,CA1,17,0.006523
52,1,CA1-RSC,uncued,CA1,18,0.007935
52,1,CA1-RSC,uncued,CA1,19,0.638138
52,1,CA1-RSC,uncued,CA1,20,0.014561
52,1,CA1-RSC,uncued,CA1,21,0.63053
52,1,CA1-RSC,uncued,CA1,22,0.581494
52,1,CA1-RSC,uncued,CA1,23,0.179514
52,1,CA1-RSC,uncued,CA1,24,0.76071
52,1,CA1-RSC,uncued,CA1,25,0.009754
52,1,CA1-RSC,uncued,CA1,26,0.002062
52,1,CA1-RSC,uncued,CA1,27,0.016787
52,1,CA1-RSC,uncued,CA1,28,0.003137
52,1,CA1-RSC,uncued,CA1,29,0.019543
52,1,CA1-RSC,uncued,CA1,30,0.228372
52,1,CA1-RSC,uncued,CA1,31,0.046887
52,1,CA1-RSC,uncued,CA1,32,0.688272
52,1,CA1-RSC,uncued,CA1,33,0.24971
52,1,CA1-RSC,uncued,CA1,34,0.528766
