family,metric,cell,contrast,n,med_delta,t_p,w_p
pair,rho_contrib_conn_tune_ratepart,V1-RSC V1,expert-naive,6,-0.0571,0.52338,0.6875
pair,rho_contrib_conn_tune_ratepart,V1-RSC V1,intermediate-naive,6,0.0794,0.2171,0.4375
pair,rho_contrib_conn_tune_ratepart,V1-RSC V1,expert-intermediate,6,-0.1019,0.27548,0.4375
pair,rho_contrib_conn_tune_ratepart,V1-RSC RSC,expert-naive,6,-0.1107,0.15853,0.15625
pair,rho_contrib_conn_tune_ratepart,V1-RSC RSC,intermediate-naive,6,0.07,0.62472,0.4375
pair,rho_contrib_conn_tune_ratepart,V1-RSC RSC,expert-intermediate,6,-0.1202,0.36546,0.5625
pooled,rho_pooled,CA1,expert-naive,12,0.089,0.35487,0.33936
pooled,rho_pooled,CA1,intermediate-naive,12,0.0398,0.20919,0.38037
pooled,rho_pooled,CA1,expert-intermediate,12,-0.0524,0.73805,0.56934
pooled,rho_pooled,CA3,expert-naive,5,0.1601,0.33414,0.625
pooled,rho_pooled,CA3,intermediate-naive,5,0.0886,0.5679,0.8125
pooled,rho_pooled,CA3,expert-intermediate,5,0.0762,0.39813,0.625
pooled,rho_pooled,DG,expert-naive,8,-0.0227,0.82376,0.94531
pooled,rho_pooled,DG,intermediate-naive,8,-0.18,0.77475,0.74219
pooled,rho_pooled,DG,expert-intermediate,8,-0.0384,0.96671,0.94531
pooled,rho_pooled,SUB,expert-naive,4,-0.156,0.44824,0.625
pooled,rho_pooled,SUB,intermediate-naive,4,-0.0054,0.5901,1.0
pooled,rho_pooled,SUB,expert-intermediate,4,-0.3794,0.39525,0.625
pooled,rho_pooled,RSC,expert-naive,8,-0.1367,0.79087,0.94531
pooled,rho_pooled,RSC,intermediate-naive,8,-0.0049,0.45273,0.84375
pooled,rho_pooled,RSC,expert-intermediate,8,-0.0545,0.88797,1.0
pooled,rho_pooled,V1,expert-naive,10,0.0419,0.8902,0.8457
pooled,rho_pooled,V1,intermediate-naive,10,-0.0146,0.5856,0.92188
pooled,rho_pooled,V1,expert-intermediate,10,0.0197,0.65642,0.8457
pooled,rho_pooled_ratepart,CA1,expert-naive,12,0.099,0.83318,0.79102
pooled,rho_pooled_ratepart,CA1,intermediate-naive,12,-0.006,0.50801,0.8501
pooled,rho_pooled_ratepart,CA1,expert-intermediate,12,-0.0495,0.57922,0.56934
pooled,rho_pooled_ratepart,CA3,expert-naive,5,0.1866,0.22284,0.3125
pooled,rho_pooled_ratepart,CA3,intermediate-naive,5,0.1307,0.88729,0.8125
pooled,rho_pooled_ratepart,CA3,expert-intermediate,5,0.3957,0.17982,0.3125
pooled,rho_pooled_ratepart,DG,expert-naive,8,-0.257,0.17183,0.14844
pooled,rho_pooled_ratepart,DG,intermediate-naive,8,-0.432,0.01137,0.03906
pooled,rho_pooled_ratepart,DG,expert-intermediate,8,0.1668,0.20757,0.25
pooled,rho_pooled_ratepart,SUB,expert-naive,4,-0.1117,0.55524,0.875
pooled,rho_pooled_ratepart,SUB,intermediate-naive,4,-0.0062,0.76015,0.875
pooled,rho_pooled_ratepart,SUB,expert-intermediate,4,0.022,0.78183,0.875
pooled,rho_pooled_ratepart,RSC,expert-naive,8,0.0008,0.70867,0.94531
pooled,rho_pooled_ratepart,RSC,intermediate-naive,8,0.044,0.35372,0.38281
pooled,rho_pooled_ratepart,RSC,expert-intermediate,8,-0.0411,0.87085,0.94531
pooled,rho_pooled_ratepart,V1,expert-naive,10,-0.0224,0.44781,0.92188
pooled,rho_pooled_ratepart,V1,intermediate-naive,10,0.04,0.5746,0.625
pooled,rho_pooled_ratepart,V1,expert-intermediate,10,-0.0306,0.45145,0.49219
pooled,rho_pooled_tune,CA1,expert-naive,12,0.0708,0.32689,0.33936
